Host            Firmware ID               Version                  
192.168.2.11    BMC                       2.04.00                  
192.168.2.11    CPLD                      0.0.0                    
192.168.2.11    CPLD_FW_E1DS_BP_0         0b.04.02                 
192.168.2.11    CPLD_FW_E1DS_BP_1         0b.04.02                 
192.168.2.11    CX_0                      40.46.3048               
192.168.2.11    CX_1                      40.46.3048               
192.168.2.11    CX_2                      40.46.3048               
192.168.2.11    CX_3                      40.46.3048               
192.168.2.11    HGX_FW_BMC_0              GB200Nvl-25.08-B         
192.168.2.11    HGX_FW_CPLD_0             0.22                     
192.168.2.11    HGX_FW_CPU_0              0301                     
192.168.2.11    HGX_FW_CPU_1              0301                     
192.168.2.11    HGX_FW_ERoT_BMC_0         01.04.0031.0000_n04      
192.168.2.11    HGX_FW_ERoT_CPU_0         01.04.0031.0000_n04      
192.168.2.11    HGX_FW_ERoT_CPU_1         01.04.0031.0000_n04      
192.168.2.11    HGX_FW_ERoT_FPGA_0        01.04.0031.0000_n04      
192.168.2.11    HGX_FW_ERoT_FPGA_1        01.04.0031.0000_n04      
192.168.2.11    HGX_FW_FPGA_0             1.56                     
192.168.2.11    HGX_FW_FPGA_1             1.56                     
192.168.2.11    HGX_FW_GPU_0              97.10.4A.00.05           
192.168.2.11    HGX_FW_GPU_1              97.10.4A.00.05           
192.168.2.11    HGX_FW_GPU_2              97.10.4A.00.05           
192.168.2.11    HGX_FW_GPU_3              97.10.4A.00.05           
192.168.2.11    HGX_InfoROM_GPU_0         G548.0301.00.03          
192.168.2.11    HGX_InfoROM_GPU_1         G548.0301.00.03          
192.168.2.11    HGX_InfoROM_GPU_2         G548.0301.00.03          
192.168.2.11    HGX_InfoROM_GPU_3         G548.0301.00.03          
192.168.2.11    HGX_PCIeSwitchConfig_0    01151024                 
---
192.168.2.21    BMC                       2.04.00                  
192.168.2.21    CPLD                      0.0.0                    
192.168.2.21    CPLD_FW_E1DS_BP_0         0b.04.02                 
192.168.2.21    CPLD_FW_E1DS_BP_1         0b.04.02                 
192.168.2.21    CX_0                      40.46.3048               
192.168.2.21    CX_1                      40.46.3048               
192.168.2.21    CX_2                      40.46.3048               
192.168.2.21    CX_3                      40.46.3048               
192.168.2.21    HGX_FW_BMC_0              GB200Nvl-25.08-B         
192.168.2.21    HGX_FW_CPLD_0             0.22                     
192.168.2.21    HGX_FW_CPU_0              0301                     
192.168.2.21    HGX_FW_CPU_1              0301                     
192.168.2.21    HGX_FW_ERoT_BMC_0         01.04.0031.0000_n04      
192.168.2.21    HGX_FW_ERoT_CPU_0         01.04.0031.0000_n04      
192.168.2.21    HGX_FW_ERoT_CPU_1         01.04.0031.0000_n04      
192.168.2.21    HGX_FW_ERoT_FPGA_0        01.04.0031.0000_n04      
192.168.2.21    HGX_FW_ERoT_FPGA_1        01.04.0031.0000_n04      
192.168.2.21    HGX_FW_FPGA_0             1.56                     
192.168.2.21    HGX_FW_FPGA_1             1.56                     
192.168.2.21    HGX_FW_GPU_0              97.10.4A.00.05           
192.168.2.21    HGX_FW_GPU_1              97.10.4A.00.05           
192.168.2.21    HGX_FW_GPU_2              97.10.4A.00.05           
192.168.2.21    HGX_FW_GPU_3              97.10.4A.00.05           
192.168.2.21    HGX_InfoROM_GPU_0         G548.0301.00.03          
192.168.2.21    HGX_InfoROM_GPU_1         G548.0301.00.03          
192.168.2.21    HGX_InfoROM_GPU_2         G548.0301.00.03          
192.168.2.21    HGX_InfoROM_GPU_3         G548.0301.00.03          
192.168.2.21    HGX_PCIeSwitchConfig_0    01151024                 
---
192.168.2.13    BMC                       2.04.00                  
192.168.2.13    CPLD                      0.0.0                    
192.168.2.13    CPLD_FW_E1DS_BP_0         0b.04.02                 
192.168.2.13    CPLD_FW_E1DS_BP_1         0b.04.02                 
192.168.2.13    CX_0                      40.46.3048               
192.168.2.13    CX_1                      40.46.3048               
192.168.2.13    CX_2                      40.46.3048               
192.168.2.13    CX_3                      40.46.3048               
